ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
1409,1951,Graduation,Together,40689,0,1,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0
7892,1969,Graduation,Single,18589,0,0,2/1/2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0
2404,1976,Graduation,Married,53359,1,1,27-05-2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0
5255,1986,Graduation,Single,,1,0,20-02-2013,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0
9422,1989,Graduation,Married,38360,1,0,31-05-2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0
1966,1965,PhD,Married,84618,0,0,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0
6864,1989,Master,Divorced,10979,0,0,22-05-2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0
3033,1963,Master,Together,38620,0,0,11/5/2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0
5710,1970,Graduation,Together,40548,0,1,10/10/2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0
7373,1952,PhD,Divorced,46610,0,2,29-10-2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1
8755,1946,Master,Married,68657,0,0,20-02-2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0
10738,1951,Master,Single,49389,1,1,29-08-2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0
4339,1970,PhD,Married,67353,0,1,31-12-2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0
10755,1976,2n Cycle,Married,23718,1,0,2/9/2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0
8595,1973,Graduation,Widow,42429,0,1,11/2/2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0
2968,1943,PhD,Divorced,48948,0,0,1/2/2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1
8601,1980,Graduation,Married,80011,0,1,29-04-2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0
503,1985,Master,Married,20559,1,0,12/3/2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0
8430,1957,Graduation,Together,21994,0,1,24-12-2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0
7281,1959,PhD,Single,,0,0,5/11/2013,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0
